FPR_Rice,TPR_Rice,FPR_Wheat,TPR_Wheat,FPR_Maize,TPR_Maize,FPR_Potato,TPR_Potato
1,0.963,1,0.976,1,0.992,1,0.969
1,0.963,1,0.976,1,0.992,1,0.969
1,0.963,1,0.976,1,0.992,1,0.969
0.991,0.963,0.996,0.976,1,0.992,1,0.969
0.937,0.963,0.96,0.976,0.992,0.992,1,0.969
0.856,0.963,0.919,0.976,0.972,0.992,0.992,0.969
0.804,0.963,0.897,0.976,0.941,0.992,0.975,0.968
0.744,0.963,0.865,0.976,0.915,0.992,0.956,0.967
0.696,0.963,0.833,0.976,0.887,0.991,0.927,0.967
0.639,0.963,0.805,0.976,0.861,0.991,0.9,0.964
0.6,0.963,0.759,0.976,0.824,0.991,0.873,0.96
0.561,0.963,0.712,0.976,0.791,0.991,0.857,0.955
0.525,0.963,0.665,0.976,0.753,0.991,0.831,0.951
0.493,0.963,0.623,0.976,0.724,0.991,0.812,0.949
0.463,0.963,0.583,0.976,0.689,0.991,0.791,0.945
0.436,0.963,0.571,0.976,0.643,0.991,0.763,0.941
0.413,0.963,0.54,0.976,0.608,0.991,0.741,0.936
0.396,0.963,0.505,0.976,0.567,0.991,0.715,0.935
0.373,0.963,0.469,0.976,0.532,0.991,0.689,0.929
0.356,0.963,0.445,0.976,0.504,0.991,0.667,0.92
0.345,0.963,0.428,0.976,0.475,0.991,0.648,0.916
0.323,0.963,0.407,0.976,0.449,0.991,0.625,0.899
0.307,0.963,0.393,0.976,0.42,0.991,0.603,0.892
0.291,0.963,0.38,0.976,0.393,0.991,0.58,0.881
0.276,0.963,0.357,0.976,0.363,0.991,0.56,0.876
0.26,0.963,0.336,0.976,0.335,0.991,0.536,0.865
0.244,0.963,0.32,0.976,0.323,0.991,0.515,0.852
0.231,0.963,0.308,0.976,0.304,0.991,0.505,0.84
0.211,0.961,0.295,0.975,0.292,0.991,0.492,0.824
0.204,0.961,0.276,0.975,0.281,0.991,0.477,0.811
0.196,0.961,0.269,0.975,0.265,0.991,0.457,0.797
0.187,0.961,0.261,0.975,0.245,0.991,0.441,0.78
0.179,0.961,0.249,0.975,0.233,0.991,0.428,0.763
0.173,0.961,0.24,0.975,0.223,0.989,0.408,0.753
0.161,0.961,0.229,0.975,0.211,0.989,0.395,0.741
0.153,0.96,0.216,0.975,0.201,0.989,0.383,0.731
0.139,0.96,0.201,0.975,0.192,0.989,0.369,0.717
0.128,0.96,0.195,0.975,0.18,0.989,0.359,0.711
0.112,0.96,0.184,0.975,0.171,0.989,0.345,0.695
0.105,0.96,0.176,0.975,0.163,0.988,0.34,0.679
0.104,0.96,0.169,0.973,0.157,0.988,0.327,0.66
0.099,0.96,0.165,0.973,0.151,0.988,0.315,0.652
0.095,0.96,0.157,0.973,0.144,0.988,0.304,0.641
0.092,0.96,0.155,0.973,0.14,0.988,0.297,0.624
0.091,0.96,0.149,0.972,0.133,0.988,0.292,0.609
0.087,0.96,0.147,0.972,0.129,0.988,0.284,0.6
0.081,0.959,0.143,0.971,0.129,0.988,0.265,0.591
0.076,0.959,0.135,0.971,0.127,0.988,0.249,0.585
0.072,0.959,0.132,0.971,0.121,0.988,0.247,0.575
0.067,0.959,0.129,0.969,0.117,0.988,0.235,0.56
0.065,0.959,0.123,0.969,0.113,0.988,0.232,0.544
0.064,0.959,0.119,0.969,0.111,0.985,0.224,0.535
0.061,0.959,0.113,0.968,0.107,0.984,0.221,0.52
0.061,0.959,0.109,0.968,0.104,0.983,0.215,0.503
0.059,0.959,0.107,0.968,0.096,0.983,0.204,0.495
0.056,0.959,0.101,0.967,0.088,0.977,0.201,0.484
0.053,0.955,0.097,0.965,0.087,0.977,0.199,0.476
0.052,0.955,0.097,0.964,0.084,0.976,0.197,0.459
