Elevation,Slope,Bulk Density,Clay Particles,Total Nitrogen,Soil pH,Sand Particle,Silt Particles,Organic Carbon Stocks,Drought (mean),Drought (max),Drought (min),LST,Humidity,Precipitation (mean),Precipitation (max),Precipitation (min),NDVI,EVI,FPAR,GPP
145,3.048716136748263,138,254,1428,54,540,206,37,86.56944444444444,922,-748,29.8777606177606,0.013096047565340996,134.22222222222223,366,7,0.663781884057971,4246.702898550725,57.275862068965516,0.028839130434782607
95,3.311287160404058,139,191,2160,64,503,305,49,-315.68055555555554,310,-710,16.40443579766537,0.006714281626045704,52.27777777777778,159,8,0.4827507246376812,2371.949275362319,50.92921960072595,0.025977173913043484
158,0.0,129,274,2595,60,356,370,53,-249.01388888888889,400,-628,9.30911392405062,0.005032183602452278,47.09722222222222,120,10,0.5536326086956522,3298.8985507246375,40.152450090744104,0.01974782608695652
1018,1.8543341688058628,132,324,775,60,528,148,42,373.15277777777777,1083,-240,30.621885245901638,0.011581608094274998,126.29166666666667,594,0,0.5815268115942029,3294.6666666666665,45.9908592321755,0.03410217391304348
1866,14.506409455260405,121,250,3727,58,327,423,59,-90.09722222222223,408,-619,20.919279279279294,0.010097917169332504,77.70833333333333,235,3,0.5811108695652174,3430.81884057971,44.509981851179674,0.03350144927536232
28,0.0,144,353,899,73,406,241,34,-178.23611111111111,420,-542,34.40551111111114,0.015107112936675549,33.361111111111114,222,0,0.5175384057971014,3302.086956521739,41.552102376599635,0.02402644927536232
4566,18.485421033486215,120,216,2189,65,479,304,69,171.58333333333334,1690,-537,20.68748091603055,0.0056366282515227795,79.48611111111111,679,0,0.3377833333333334,2271.2391304347825,26.04,0.009715942028985508
1137,22.21913291137585,126,384,1435,65,308,308,68,-179.88888888888889,878,-610,27.6802448979592,0.011456497013568878,104.54166666666667,435,1,0.6126492753623188,3756.0072463768115,44.552727272727275,0.039960507246376814
86,0.0,144,239,2666,61,464,297,69,-230.84722222222223,390,-580,25.671044776119402,0.006619936320930719,45.083333333333336,390,0,0.4609014492753623,2775.840579710145,39.669691470054445,0.02622427536231884
201,0.0,147,153,1069,71,572,275,40,-10.597222222222221,765,-590,25.312767527675305,0.006799803115427494,53.72222222222222,168,0,0.39636159420289857,2229.876811594203,35.80762250453721,0.01840253623188406
1453,10.138284057986452,128,248,619,55,662,90,40,-176.5,1140,-780,32.03774058577403,0.010727467015385628,80.08333333333333,347,0,0.4785644927536232,2873.3333333333335,40.08409506398537,0.032778623188405805
1210,8.488605972642379,133,333,1707,58,361,306,67,-461.27777777777777,442,-936,29.3058870967742,0.012724620290100574,70.51388888888889,262,0,0.7116456521739131,4647.565217391304,54.45338208409506,0.04143985507246377
412,3.971528729861951,136,324,1105,55,509,167,41,5.458333333333333,787,-767,32.175953307393,0.012395725585520267,113.40277777777777,357,1,0.5474572463768116,3342.978260869565,51.382940108892925,0.031487681159420286
100,10.038790870799247,143,292,1025,78,368,339,33,96.63888888888889,661,-327,24.804661654135373,0.007410204038023949,42.263888888888886,125,2,0.4143797101449275,2538.021739130435,34.1016333938294,0.0184
111,0.0,146,162,994,71,565,273,42,-71.16666666666667,499,-610,24.864679245283014,0.0068106092512607574,50.333333333333336,128,1,0.4938471014492754,3075.5434782608695,38.254083484573506,0.02015326086956522
1796,10.150249010053308,144,258,1298,79,318,424,36,20.48611111111111,861,-430,24.89985018726594,0.004082228988409042,22.430555555555557,113,0,0.14723478260869566,1101.195652173913,11.453720508166969,0.0050137681159420295
1116,4.140739399547301,129,340,1421,54,414,246,55,-419.3611111111111,362,-1005,28.72919148936171,0.013204818591475487,92.83333333333333,329,0,0.738713043478261,4668.007246376812,74.99085923217551,0.06696123188405798
554,2.201759008995247,157,364,1235,77,253,383,40,22.72222222222222,510,-382,30.169516728624558,0.008431178517639637,52.81944444444444,175,0,0.33166376811594206,1920.391304347826,29.632727272727273,0.012548550724637682
144,2.6004009472171257,119,223,1615,57,409,367,60,34.611111111111114,474,-454,3.0955555555555634,0.004330874886363745,41.486111111111114,141,8,0.48556204379562046,2874.817518248175,37.09437386569873,0.017521739130434782
477,2.1534857054733236,127,235,342,74,645,120,58,-9.958333333333334,402,-340,29.653868613138684,0.006099286023527384,20.305555555555557,84,1,0.3506021739130435,1295.0869565217392,23.47005444646098,0.01005108695652174
4922,26.71196751368255,112,145,2175,69,444,411,60,-133.91666666666666,302,-513,3.257899543378983,0.00474963616579771,49.486111111111114,170,0,0.07876231884057971,489.89130434782606,5.980036297640654,0.0018384057971014493
187,13.168767530780729,136,226,1175,61,395,379,51,-457.47222222222223,-168,-790,13.754517374517377,0.005914795678108931,68.48611111111111,427,0,0.45528913043478264,2650.5652173913045,34.01459854014598,0.019971376811594204
459,1.8715388820183003,136,202,1961,61,604,193,26,-362.31944444444446,266,-844,35.13093877551023,0.012355100363492966,88.72222222222223,411,0,0.5152514492753624,3135.036231884058,42.04387568555759,0.016816666666666667
316,0.9274099368729609,147,153,664,64,672,176,31,38.80555555555556,740,-548,33.06724137931036,0.014792796224355698,108.29166666666667,405,0,0.485263768115942,3292.0289855072465,39.38756855575868,0.020672101449275365
134,6.746645384778767,138,333,1622,67,148,519,52,-303.93055555555554,314,-700,17.807603305785108,0.006498368922621012,60.138888888888886,128,10,0.588463043478261,3912.913043478261,49.047186932849364,0.022472101449275365
